epoch,lr,train_loss,train_acc,train_bal_acc,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_acc,val_bal_acc,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec,train_top2_acc,val_top2_acc,train_auc,val_auc
1,0.00299178284305241,0.3097958330335655,0.92569932812507,0.7508934177157539,0.8386137470338795,0.7508934177157539,0.785921260060068,2.431847646344044,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,619.3994500637054,nan,nan,0.8837546684010832,0.5303409950770486
2,0.0029672214011007086,0.25243569766181373,0.9362025097075992,0.7890335802432464,0.8652591037100478,0.7890335802432464,0.8211638711259114,1.384709364526739,0.8072976278458329,0.5025009824090123,0.6215947194183856,0.5025009824090123,0.45373151934271194,616.7565348148346,nan,nan,0.9102175428597901,0.7544951337566257
3,0.0029265847744427307,0.2555338139797526,0.9378609067995775,0.7953753507706802,0.8689618131903405,0.7953753507706802,0.8266783613623542,2.212463000479134,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,616.634786605835,nan,nan,0.9101923545545964,0.7200015561006223
4,0.0028703181864639014,0.255648128760544,0.9369077019845485,0.7911107890888237,0.8672834836886292,0.7911107890888237,0.8232641239665399,1.9103826454348105,0.8077162048149432,0.5000259163738856,0.6538621276039112,0.5000259163738856,0.4468830718291112,616.3053014278412,nan,nan,0.909580553119611,0.605041831427427
5,0.0027990381056766586,0.2518435205679894,0.9375262392783134,0.7928125087889359,0.869140803160827,0.7928125087889359,0.8250554965212608,2.1347133822044975,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,616.5617055892944,nan,nan,0.9115962812336826,0.6664785386458003
6,0.0027135254915624215,0.2522305880210718,0.9363369743366785,0.7879949984258725,0.8666708937968268,0.7879949984258725,0.8209728724143246,2.6390987482132293,0.8081413220491959,0.5012479822332419,0.840833646993481,0.5012479822332419,0.44949410592997946,616.9817998409271,nan,nan,0.9059769150678978,0.7148067860088432
7,0.0026147172382160913,0.2539189496618219,0.9360008127639802,0.782030116558271,0.8693989764464002,0.782030116558271,0.8178679410398608,2.0096168338251688,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,615.960987329483,nan,nan,0.9037015389924489,0.7372253924444456
8,0.0025036959095382874,0.24783834024759033,0.9366447489321268,0.7878007382606396,0.8683658697603345,0.7878007382606396,0.8214383637938784,1.3777363843429775,0.8096455830319361,0.5056130834020909,0.8453005621076727,0.5056130834020909,0.4587235991483584,616.1836366653442,nan,nan,0.9105151383164533,0.698120799182433
9,0.00238167787843871,0.2492782419726369,0.9353255015157151,0.7785637465693649,0.8685324940383072,0.7785637465693649,0.8151786242205676,2.005698460161831,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,619.8838627338409,nan,nan,0.904595415273584,0.7088012976832608
10,0.0022500000000000003,0.24236680595820562,0.9353688290073074,0.7806300262864612,0.8671730373122937,0.7806300262864612,0.8161512469328942,1.409126493747974,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,616.7956035137177,nan,nan,0.9069378209630883,0.7257906913565029
11,0.0021101049646137008,0.24986304933671144,0.9360799974899936,0.7879319940467386,0.8654310481519396,0.7879319940467386,0.8204923489836782,2.4740917923498746,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,618.1110005378723,nan,nan,0.9099613014659175,0.7226557273894586
12,0.0019635254915624217,0.25535997940709626,0.9329141025008927,0.7751525575658016,0.8586005123638241,0.7751525575658016,0.8094801715954518,1.4045053587122387,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,614.4591207504272,nan,nan,0.9009753845678977,0.7560121020286429
13,0.0018118675362266393,0.25856545757265875,0.9320490467204824,0.7703308925790493,0.8576227999529318,0.7703308925790493,0.8058194562815854,2.9864265586559275,0.8077423658755126,0.5000680272108844,0.9038686680401582,0.5000680272108844,0.446958325832944,613.988205909729,nan,nan,0.9036345731070218,0.6978593599562595
14,0.0016567926949014808,0.2566181907946823,0.9330515552328404,0.7761400422181736,0.8585994920642195,0.7761400422181736,0.8101557509796651,1.3443000477556113,0.8078600906480748,0.5003871078468068,0.8830849005178523,0.5003871078468068,0.44763268106843407,613.8282072544098,nan,nan,0.9099035492465939,0.7324976292187333
15,0.0015000000000000007,0.2418643498896107,0.9347054701705161,0.779661486543826,0.8644709515099853,0.779661486543826,0.8145688123334971,2.525503966204478,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,614.5769336223602,nan,nan,0.911414972185588,0.7442063750495542
16,0.0013432073050985204,0.24753896137635076,0.9356258058539924,0.7809088871883947,0.8682996093245223,0.7809088871883947,0.8167241576748392,1.8236867075002114,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,613.7557711601257,nan,nan,0.9084733753900984,0.7903442953874479
17,0.001188132463773361,0.24401000185354357,0.9332831332051437,0.7712765524639286,0.8633518339822559,0.7712765524639286,0.8083690890484045,1.389644460482212,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,613.805745601654,nan,nan,0.9100682847412489,0.7776390622403342
18,0.001036474508437579,0.2438270546391769,0.9336641163208684,0.7724944898419966,0.864435603562318,0.7724944898419966,0.8095808128922878,1.3520705331365213,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,616.6718716621399,nan,nan,0.9094958026122116,0.7658399933062885
