epoch,lr,train_loss,train_acc,train_bal_acc,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_acc,val_bal_acc,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec,train_top2_acc,val_top2_acc,train_auc,val_auc
1,0.0009972609476841367,0.7967873303119338,0.6077030905814031,0.6077030905814031,0.6081980025968294,0.6077030905814031,0.6072539724753203,0.6485994626908035,0.80720606413384,0.4998137898387235,0.45484957158497064,0.4998137898387235,0.44699481493767335,109.29495763778687,nan,nan,0.6575614596101818,0.46790714257346433
2,0.0009890738003669028,0.7593530689732139,0.6489553434350177,0.6489553434350177,0.6491697785516437,0.6489553434350177,0.6488291393117722,0.7994622278433433,0.8076835034892315,0.5000056732949943,0.5149700946940792,0.5000056732949943,0.44687305290313495,108.24497389793396,nan,nan,0.7052013258580465,0.49799355105081405
3,0.0009755282581475768,0.662359824527758,0.6951872371670783,0.6951872371670783,0.6957987234049032,0.6951872371670783,0.694949065992188,1.1550647301394674,0.8076900437543738,0.4999838055368869,0.40385558716766407,0.4999838055368869,0.4468078178252784,108.66058278083801,nan,nan,0.7615884258190896,0.238368750734328
4,0.0009567727288213003,0.5967479070352698,0.7566384086509579,0.7566384086509579,0.7571884376537067,0.7566384086509579,0.7565082243979898,1.1707587315198655,0.8077031242846585,0.49999190276844346,0.4038568448040184,0.49999190276844346,0.4468118207209945,108.47299861907959,nan,nan,0.8316331262328629,0.25500930300297675
5,0.0009330127018922195,0.560947277684315,0.78154996328683,0.7815499632868299,0.7821816395569063,0.7815499632868299,0.7814276422776703,1.1757282325439502,0.8077031242846585,0.49999190276844346,0.4038568448040184,0.49999190276844346,0.4468118207209945,108.34191679954529,nan,nan,0.8570664805908323,0.30861069807885744
6,0.0009045084971874739,0.5350147469888958,0.796508911287631,0.7965089112876309,0.7972599195244785,0.7965089112876309,0.7963803032417713,1.2283241753632437,0.8077096645498009,0.49999595138422176,0.4038574736098576,0.49999595138422176,0.44681382214712895,109.24988627433777,nan,nan,0.873450908899086,0.328820873979921
7,0.0008715724127386972,0.5139184696296962,0.8076697149722982,0.8076697149722982,0.8085615477845697,0.8076697149722982,0.8075306418358364,1.2586373658763428,0.8077162048149432,0.5,0.4038581024074716,0.5,0.4468158235587812,113.68207740783691,nan,nan,0.8853564815145487,0.3601320140684716
