epoch,lr,train_loss,train_acc,train_bal_acc,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_acc,val_bal_acc,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec,train_top2_acc,val_top2_acc,train_auc,val_auc
1,4.9863047384206835e-05,0.49006270241133015,0.9499623062630963,0.9022823008295888,0.8633578771741914,0.9022823008295888,0.8814151033091915,7.097259139100424,0.8400952635037969,0.5866123425032828,0.7782830046556026,0.5866123425032828,0.6049502803587578,2952.961812734604,nan,nan,0.9739310510866845,0.7681765286559422
2,4.9453690018345144e-05,0.48096824830540674,0.954368318265732,0.9054773539345484,0.8765388177874405,0.9054773539345484,0.8902557827190012,5.219618817653207,0.8447348043649425,0.6328766764137156,0.7556706184425966,0.6328766764137156,0.6611877535145063,2520.604815006256,nan,nan,0.9755888053634242,0.7844078303957822
3,4.877641290737884e-05,0.469773243792246,0.9570083638543775,0.9091182664471356,0.8840325354579379,0.9091182664471356,0.8960207653907071,4.131714572281331,0.8409411825948894,0.6549360179486339,0.7335886298457726,0.6549360179486339,0.6795095014035557,2682.8805084228516,nan,nan,0.9771832850744283,0.7796522890306843
4,4.7838636441065016e-05,0.46029441602773324,0.95905629129245,0.9118628123657289,0.8900101320055276,0.9118628123657289,0.9005217702214283,5.417084894509316,0.8456457941553498,0.6214289126590044,0.7691686489464565,0.6214289126590044,0.6495581795576819,2532.8173747062683,nan,nan,0.9782711829792299,0.7762014215466557
5,4.665063509461097e-05,0.45059462100741954,0.9609558181915316,0.9139093857263567,0.8959258678971149,0.9139093857263567,0.9046406369450443,7.943550833188755,0.8363406841533326,0.568275704253085,0.7812972235272216,0.568275704253085,0.5777293135638097,2712.551050186157,nan,nan,0.9798895242357402,0.7511272430442941
6,4.522542485937369e-05,0.4416025641140656,0.9625496399802924,0.916696566685585,0.9003950093948716,0.916696566685585,0.9083207588566253,4.359678719228838,0.8430169379030317,0.6550326593170709,0.7397815182315111,0.6550326593170709,0.680804473474092,2442.9163534641266,nan,nan,0.9810527568813727,0.7939551765886593
7,4.357862063693486e-05,0.43332087505952244,0.9639460890521955,0.9190395080385179,0.9044036638737624,0.9190395080385179,0.9115419897792967,5.9763058351634015,0.8376420981396288,0.5917518447420678,0.7526001707223734,0.5917518447420678,0.6115291228148221,2515.4421939849854,nan,nan,0.9821815693180849,0.7471340863045359
8,4.172826515897146e-05,0.41942070275352344,0.965493906673869,0.9215768446959464,0.908926908888406,0.9215768446959464,0.9151191810735985,5.68721743056184,0.8418391582454336,0.6345482334309047,0.7430068053903485,0.6345482334309047,0.6614442537355978,2185.9976663589478,nan,nan,0.9835384102805969,0.7666860149195126
9,3.969463130731183e-05,0.4122080829027854,0.9667849913630886,0.9235675902045075,0.9128162147470984,0.9235675902045075,0.9180969272916567,7.250724741197955,0.8437847721549463,0.6038667487182331,0.7786588628922623,0.6038667487182331,0.6283784924394373,2714.8129193782806,nan,nan,0.9845301769004354,0.7645568421550821
10,3.7500000000000003e-05,0.40635734312803157,0.9687334904400373,0.9266465213815696,0.9187143898911001,0.9266465213815696,0.9226294695277355,8.103280036460129,0.8379479304264082,0.5897969230611003,0.7569359113193548,0.5897969230611003,0.6089955876490613,2675.4899854660034,nan,nan,0.9855045470306696,0.7649738404449664
11,3.516841607689502e-05,0.3951996758651329,0.9699340508004725,0.9292981929140535,0.9218885357177373,0.9292981929140535,0.9255492360590656,5.960676687643364,0.8427436409659095,0.6446941100675235,0.7421884544355307,0.6446941100675235,0.671505392710644,2620.7372233867645,nan,nan,0.9865146056360106,0.7654773246998602
12,3.272542485937369e-05,0.3787541656704805,0.9709965986596464,0.9315505616163804,0.9247693419351377,0.9315505616163804,0.9281232580233225,5.37452993368659,0.8446632265956963,0.6513734350073572,0.7462829532636198,0.6513734350073572,0.6785808571539305,2730.960262775421,nan,nan,0.9878067584544044,0.7858983940084471
13,3.0197792270443985e-05,0.37524015461476673,0.972318847462054,0.9338344612608184,0.9287295640863821,0.9338344612608184,0.9312614087155882,6.715388769991877,0.8413185926509152,0.613929274713175,0.753073569723268,0.613929274713175,0.6395346164109416,2567.185357570648,nan,nan,0.9884912095953466,0.7463606288683517
14,2.7613211581691344e-05,0.3609279654587523,0.9733264871218013,0.9363314760558867,0.931231315539434,0.9363314760558867,0.933760965793586,8.644166843933373,0.8429713884135113,0.6075690347074704,0.7684961527712554,0.6075690347074704,0.632666915352179,2369.7072908878326,nan,nan,0.9895712046159905,0.7510566670250015
15,2.500000000000001e-05,0.34693521127821375,0.9746932560859061,0.9392031307785091,0.9349990857875075,0.9392031307785091,0.937087353700802,8.076857324312611,0.8431080368820724,0.6143725706780004,0.7621462170532929,0.6143725706780004,0.640678064215086,2817.2319569587708,nan,nan,0.9904908592855901,0.751500963094335
16,2.2386788418308672e-05,0.33923621427018863,0.9757350278696212,0.9411567168106719,0.9380567621414393,0.9411567168106719,0.9395993136623617,9.420932484786283,0.839216809063047,0.5989956991521794,0.7548257996361867,0.5989956991521794,0.621131099080992,3039.6538228988647,nan,nan,0.9911553836100573,0.7367728617132853


# Loaded best model from epoch 6 with f1_macro=0.680804
# Best epoch: 6
# Training completed in 701.37 minutes
